author_id,text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,created_at,in_reply_to_user_id,conversation_id
1446099679234514946,@crunks_nft @randomearth_io @terra_money https://t.co/a9Whol7Xmo… ROLLBIT (CRYPTO CASINO) is releasing ROLLBOT NFTs in a FEW HOURS! Casino profit sharing and lowered house edge for NFT holders!,0,0,0,0,1448701843551363078,2021-10-14T17:26:49.000Z,1445684243120549892,1448243098618716168
1387512938290876426,@unstableDocWon @thekwoonies @galacticpunks @terrawhales @terra_money @unstableDocWon @thekwoonies @CruzLexei @TraderKoz @Hepta7L777 fingers crossed ser. Respect!,0,0,0,0,1448701263324061696,2021-10-14T17:24:31.000Z,1442221538380447745,1448337429170098187
1433089760168271879,"@HuobiGlobal @Bitcoin @ethereum @Polkadot @Filecoin @Shibtoken @terra_money Hello Sir.Did you hear about $MONSTA?  #CakeMonster is one step closer to the NFT launch of the year and a party you won't want to miss!!Follow @MonstaPartyNFTs
https://t.co/sfwDofAG2s
 #TheBeastOfBSC #1BillionMCapIsProgrammed",0,0,0,0,1448700990627016704,2021-10-14T17:23:26.000Z,914029581610377217,1448471368694214656
25452551,@Investingcom @stablekwon already did this… $UST @terra_money,0,0,0,0,1448700074981220355,2021-10-14T17:19:48.000Z,988955288,1448695660094664715
1421844695416598528,@gemhost @thekwoonies @terra_money Done,0,0,0,0,1448699995935309824,2021-10-14T17:19:29.000Z,3306286357,1448249661593047048
899901992427864064,"@Coinkoio @terra_money Please,Updated the new solana Ecosystem Projects, thank you",0,0,0,0,1448699960308867086,2021-10-14T17:19:20.000Z,1375601751013793797,1448624917931433986
1412457996647501830,"@ErikVoorhees @terra_money @cosmos we will develop and send a small satellite into orbit. The satellite will be called AETHER and it will be used by other crypto projects that have their own blockchain, to run nodes  @Aether_Crypto Price $0,0025🚨🚨Supply 700M very limited &amp; there is a real rocket project Real!!! https://t.co/q3Apk2QrBv",0,0,0,0,1448699953878999041,2021-10-14T17:19:19.000Z,61417559,1448694789302460417
1355366118119108612,@ErikVoorhees @terra_money @cosmos It’s about to get very impressive in cosmos,0,0,8,0,1448699387438317570,2021-10-14T17:17:04.000Z,61417559,1448694789302460417
987725188069494784,@ErikVoorhees @terra_money @cosmos Bullish for #cosmos $atom,0,1,2,0,1448697398142832640,2021-10-14T17:09:09.000Z,61417559,1448694789302460417
1442706943488020481,@BTC_NFT @terra_money Don't think just buy $LUNA this is the future 🔥,0,0,0,0,1448697370720473092,2021-10-14T17:09:03.000Z,1286249381155479553,1448608287172136960
1413223598148530179,"Loving the portfolio feature on @ape_board. What's your winning asset mix on #Terra? 
$LUNA $bETH #Tfloki $UST @terra_money #Ethereum @TerraFloki https://t.co/9Z9fuoWDAN",1,0,5,0,1448697250289528838,2021-10-14T17:08:34.000Z,,1448697250289528838
1393014905146650628,"New nft project on @terra_money 
#lunaapes #joinLAD https://t.co/QaDXoTnCGf",0,0,0,0,1448695560714719233,2021-10-14T17:01:51.000Z,,1448695560714719233
61417559,And this is before the @terra_money &lt;&gt; @cosmos  IBC integration... https://t.co/hq9r9uDabx,62,19,385,6,1448694789302460417,2021-10-14T16:58:47.000Z,,1448694789302460417
1443549147748048900,@BTC_NFT @terra_money Awesome 😎,0,0,0,0,1448694410187784194,2021-10-14T16:57:17.000Z,1286249381155479553,1448608287172136960
1362475747559038978,@Levana_protocol @terra_money @LunaBulls @galactic_punks @terraterrapins watching right now :),0,0,2,0,1448694337857069057,2021-10-14T16:57:00.000Z,1385260253076414467,1448595452673265667
1208015509150687233,@TheMoonMidas @JayJaboneta @terra_money Thanks mate,0,0,0,0,1448693457510404096,2021-10-14T16:53:30.000Z,1208015509150687233,1430253593693667328
901964312759164929,@christianiaione $LUNA will be the plan B 😎 @terra_money_ita @terra_money #LUNA,0,0,1,0,1448693391081054218,2021-10-14T16:53:14.000Z,761142486,1448663531465764871
853543791407628288,"Great project
@SLNisa1 @terra_money @XcelPayWallet @orion_money https://t.co/ngmzSLHgZw",0,0,0,0,1448693239767179269,2021-10-14T16:52:38.000Z,,1448693239767179269
865278867522629634,@gemhost @thekwoonies @terra_money Done,0,0,0,0,1448692834329141254,2021-10-14T16:51:01.000Z,3306286357,1448249661593047048
1444576254175236099,"Now Meow have the most special
""Legendary class"" donate this to 
@angelprotocol

Do Kwon meow with his  “Armageddon Protocal”  
 a switch to turn off TFL for decentralization.

at 

https://t.co/U11JERBV8v

@terra_money
 
$luna #LUNAtics https://t.co/BiB3b41nlB",1,3,1,1,1448692749289459712,2021-10-14T16:50:41.000Z,,1448692749289459712
